drug_name,generic_name_guess,atc_code,count
rosutrox,rosutrox,,8
roticox,roticox,,2
rotinvast,rotinvast,,3411
roxcetam,roxcetam,,16
runor,runor,,36
rupatadine stella,rupatadine,,9
rutantop,rutantop,,95
sadapron,sadapron,,729
sagamome,sagamome,,72
salgad,salgad,,154
sallet,sallet,,8
sanlein,sanlein,,446
santafer,santafer,,42
savi candesartan,savi candesartan,,961
savi donepezil,savi donepezil,,117
savi eperisone,savi eperisone,,36
savi etoricoxib,savi etoricoxib,,49
savi flunarizine,savi flunarizine,,36
savi gemfibrozil,savi gemfibrozil,,45
savi glipizide,savi glipizide,,90
savi ivabradine,savi ivabradine,,130
savi losartan,savi losartan,,1
savi mesalazine 500,savi mesalazine,,130
savi sertraline,savi sertraline,,183
savi valsartan,savi valsartan,,45
savidimin,savidimin,,270
savidimin (500mg),savidimin (500mg),,38
savimetoc,savimetoc,,665
savinapeso,savinapeso,,39
savitelmihct,savitelmihct,,250
savnopain,savnopain,,588
scolanzo,scolanzo,,10
seacaminfort,seacaminfort,,37
seazimin,seazimin,,489
seractil,seractil,,29
seretide evohaler dc,seretide evohaler dc,,169
seropin,seropin,,68
silverzinc,silverzinc,,2043
silymax complex,silymax complex,,43
simecol,simecol,,239
simvastatin savi,simvastatin savi,,1542
siro ho haspan,siro ho haspan,,2210
sita-met tablets 50/1000 50mg/,sita-met tablets 50/1000 50mg/,,9
sitavia,sitavia,,46
sitomet,sitomet,,8
smail,smail,,387
smecta,smecta,,32
smodir-dt,smodir-dt,,283
solamup 60,solamup,,22
soliqua solostar,soliqua solostar,,2
soravar,soravar,,2
sorbitol,sorbitol,,2
soshydra,soshydra,,14
sovalimus,sovalimus,,2
sovasol,sovasol,,24
spinolac fort,spinolac fort,,342
spiriva respimat,spiriva respimat,,35
spirovell,spirovell,,26
spulit,spulit,,18
stadlacil,stadlacil,,353
stadnex 20 cap,stadnex 20,,1790
stamlo-t,stamlo-t,,643
stefamlor,stefamlor,,1
stilaren 50mg,stilaren 50mg,,9
stradiras,stradiras,,8
stresam,stresam,,6
sucrafil suspension,sucrafil suspension,,512
sudagon,sudagon,,1
sumakin,sumakin,,60
sumamigren,sumamigren,,5
sun-levorizin,sun-levorizin,,578
sunbrella spf30,sunbrella spf30,,5
suplizinc,suplizinc,,2
susol,susol,,131
sybrava,sybrava,,1
symbicort rapihaler,symbicort rapihaler,,31
symbicort turbuhaler,symbicort turbuhaler,,16
syseye,syseye,,121
syxten,syxten,,234
súc họng miệng plasmakare chai,súc họng miệng plasmakare chai,,585
sủi,sủi,,8
sủi abbsin 200,sủi abbsin,,2
sủi bactamox,sủi bactamox,,1
sủi biocemet dt,sủi biocemet,,1
sủi clarisol-500,sủi clarisol-500,,1
sủi mft- cefaclor,sủi mft- cefaclor,,5
sủi savimetoc,sủi savimetoc,,1
sủi tunadimet,sủi tunadimet,,1
sủi vilason-50,sủi vilason-50,,1
tadalafil,tadalafil,,24
taflotan,taflotan,,106
tahero,tahero,,617
tamifine,tamifine,,1
tamvelier,tamvelier,,132
tanganil,tanganil,,498
tavulop,tavulop,,68
taxedac eye drops (25mg,taxedac eye drops (25mg,,19
tazoretin c,tazoretin c,,10
tazoretin gel,tazoretin gel,,9
tefostad t300,tefostad t300,,9
telmisartan,telmisartan,,8
telodrop mỗi,telodrop mỗi,,26
tenafin,tenafin,,284
tenafine cream,tenafine cream,,46
tenfovix,tenfovix,,12
tenonic,tenonic,,6
teperinep,teperinep,,80
tetracyclin,tetracyclin,,92
thazolxen,thazolxen,,83
theresol,theresol,,3
theroflan,theroflan,,379
thiamazol,thiamazol,,23
"thuốc ho người lớn opc (16,2g","thuốc ho người lớn opc (16,2g",,125
"thuốc ho trẻ em opc (16,2g","thuốc ho trẻ em opc (16,2g",,229
thuốc mỡ potamus,thuốc mỡ potamus,,4
thuốc trĩ tomoko,thuốc trĩ tomoko,,9
thyrozol,thyrozol,,349
thytodux,thytodux,,6
thập toàn đại bổ (908mg,thập toàn đại bổ (908mg,,40
thụt táo bón endolax,thụt táo bón endolax,,2
thụt táo bón endolax kids,thụt táo bón endolax kids,,2
tiffy syrup (120mg,tiffy syrup (120mg,,1
timolol,timolol,,43
tiphapred e,tiphapred e,,133
tiphapred m,tiphapred m,,1850
tobidex,tobidex,,2
tobidex (15mg,tobidex (15mg,,20
tobradex,tobradex,,216
tobramycin,tobramycin,,13
tobrex,tobrex,,121
tofisopam,tofisopam,,219
topamax,topamax,,4
toricam capsules,toricam capsules,,897
totcal soft capsule,totcal soft capsule,,130
toujeo solostar+10 đầu kim pen ndl,toujeo solostar+10 đầu kim pen ndl,,249
tracardis,tracardis,,1526
tradalen,tradalen,,29
tramazetan plus,tramazetan,,17
traulen,traulen,,34
travatan,travatan,,88
trihexyphenidyl,trihexyphenidyl,,101
trileptal,trileptal,,1
trimoxtal,trimoxtal,,31
trolimax,trolimax,,14
troxipe,troxipe,,59
tumegas,tumegas,,9
tunadimet,tunadimet,,5587
turbe,turbe,,25
turbezid,turbezid,,18
ubinutro (30mg,ubinutro (30mg,,242
udexcale,udexcale,,64
uformat,uformat,,14
ulcogen,ulcogen,,103
uperio,uperio,,136
ursobil,ursobil,,12
usaralphar,usaralphar,,1251
usarmicin,usarmicin,,50
utrogestan,utrogestan,,18
vaco loratadine,vaco loratadine,,175
vagsur,vagsur,,2
valcickeck h2,valcickeck h2,,10
valdes,valdes,,21
valsgim,valsgim,,1506
valsgim-h,valsgim-h,,1337
varonem,varonem,,27
vastanic,vastanic,,1476
vastarel mr tab,vastarel mr,,25
vein plus,vein,,42
venlafaxine stella,venlafaxine,,172
venosan retard,venosan retard,,106
ventolin inh,ventolin inh,,3
ventolin inhaler,ventolin inhaler,,69
vesicare,vesicare,,8
vesifix,vesifix,,85
vicebrol,vicebrol,,177
vietlife bình an,vietlife bình an,,2
vigamox,vigamox,,107
vigentin,vigentin,,50
vilason-50,vilason-50,,376
vincerol,vincerol,,66
vincestad,vincestad,,93
vinfoxin,vinfoxin,,636
vinoaci,vinoaci,,2
vinocyclin,vinocyclin,,2
vinpocetin danapha,vinpocetin danapha,,48
vinsalamin 500,vinsalamin,,19
vitasun tab,vitasun,,37
vitatrum - b complex vitamin b1 (thiamin mononitrat) 5mg; vitamin b2 (riboflavin) 2mg; vitamin b6 (pyridoxin hydroclorid) 2mg; vitamin pp (nicotinamid),vitatrum - b complex vitamin b1 (thiamin mononitrat) 5mg; vitamin b2 (riboflavin) 2mg; vitamin b6 (pyridoxin hydroclorid) 2mg; vitamin pp (nicotinamid),,14
viên hộ tâm opcardio,viên hộ tâm opcardio,,2
viên nang sâm nhung ht,viên nang sâm nhung ht,,4
viên nhuận tràng op.liz,viên nhuận tràng op.liz,,5
vt-amlopril,vt-amlopril,,552
wamlox,wamlox,,11
winde 25,winde,,1
winfla,winfla,,134
winmus,winmus,,196
winprid,winprid,,9
wizosone,wizosone,,562
wosulin,wosulin,,801
wzitamy tm (viên đặt âm đạo),wzitamy tm (viên đặt âm đạo),,153
xalgetz,xalgetz,,407
xarelto tab,xarelto,,4
xuthapirid,xuthapirid,,23
xyzsac,xyzsac,,15
xịt,xịt,,76
xịt a.t calci sac,xịt a.t calci sac,,1
xịt a.t nicorandil,xịt a.t nicorandil,,1
xịt acigmentin,xịt acigmentin,,8
xịt amaloris,xịt amaloris,,1
xịt apitim,xịt apitim,,2
xịt atoris,xịt atoris,,1
xịt ausmuco 750v,xịt ausmuco 750v,,2
xịt bicelor 375 dt.,xịt bicelor 375 dt.,,2
xịt biocemet sc,xịt biocemet sc,,1
xịt bioketoca,xịt bioketoca,,1
xịt bluecan forte,xịt bluecan,,1
xịt bromhexin,xịt bromhexin,,1
xịt calciferat,xịt calciferat,,1
xịt camzitol,xịt camzitol,,1
xịt capsicin gel,xịt capsicin gel,,3
xịt carbocistein,xịt carbocistein,,24
xịt cefcenat,xịt cefcenat,,1
xịt combiwave fb 200 (200mcg,xịt combiwave fb 200 (200mcg,,4
xịt dacolfort,xịt dacolfort,,1
xịt desbebe,xịt desbebe,,1
xịt dialamic,xịt dialamic,,1
xịt dixirein tab,xịt dixirein,,13
xịt dogrelsavi,xịt dogrelsavi,,4
xịt drotusc,xịt drotusc,,1
xịt dryches,xịt dryches,,2
xịt entacron,xịt entacron,,1
xịt esomeprazol,xịt esomeprazol,,2
xịt fezidat,xịt fezidat,,1
xịt fluvastatin,xịt fluvastatin,,1
xịt gastevin,xịt gastevin,,3
xịt genituk,xịt genituk,,3
xịt glumeform,xịt glumeform,,1
xịt hoastex,xịt hoastex,,1
xịt imedoxim,xịt imedoxim,,1
xịt imerixx,xịt imerixx,,5
xịt isoday,xịt isoday,,1
xịt ivagim,xịt ivagim,,1
xịt kaflovo,xịt kaflovo,,1
xịt kapredin,xịt kapredin,,4
xịt kavasdin,xịt kavasdin,,3
xịt lacisartan hct,xịt lacisartan hct,,1
xịt lipanthyl 200m,xịt lipanthyl 200m,,2
xịt lipitor,xịt lipitor,,1
xịt losartan dwp,xịt losartan dwp,,2
xịt medoome,xịt medoome,,1
xịt melopower,xịt melopower,,1
xịt meyerexcold,xịt meyerexcold,,1
xịt midantin,xịt midantin,,17
xịt mitiquapril,xịt mitiquapril,,1
xịt montelukast normon,xịt montelukast normon,,23
xịt novahexin,xịt novahexin,,3
xịt osvimec,xịt osvimec,,1
xịt partamol tab.,xịt partamol tab.,,1
xịt ripratine,xịt ripratine,,2
xịt seretide evohaler dc,xịt seretide evohaler dc,,37
xịt simvastatin savi,xịt simvastatin savi,,1
xịt siro ho haspan,xịt siro ho haspan,,1
xịt spinolac fort,xịt spinolac fort,,2
xịt spiriva respimat,xịt spiriva respimat,,10
xịt stadnex 20 cap,xịt stadnex 20,,1
xịt symbicort rapihaler,xịt symbicort rapihaler,,5
xịt syxten,xịt syxten,,12
xịt tai etikon,xịt tai etikon,,78
xịt tunadimet,xịt tunadimet,,4
xịt vaco loratadine,xịt vaco loratadine,,1
xịt valsgim-h,xịt valsgim-h,,3
xịt vastanic,xịt vastanic,,2
xịt ventolin inhaler,xịt ventolin inhaler,,60
xịt zaromax,xịt zaromax,,1
"xịt zencombi (2,5mg","xịt zencombi (2,5mg",,1
xịt zinkast,xịt zinkast,,3
ysp- biotase,ysp- biotase,,27
ysp-biotase,ysp-biotase,,61
zalenka,zalenka,,12
zaromax,zaromax,,453
zebacef,zebacef,,11
zebalos,zebalos,,9
zemfuva,zemfuva,,23
"zencombi (2,5mg","zencombi (2,5mg",,24
zinkast,zinkast,,414
zinnat suspension,zinnat suspension,,1
zinsol,zinsol,,430
zokicetam,zokicetam,,61
zolmed,zolmed,,484
zopinox,zopinox,,526
zy-10 forte,zy-10,,6
zynadex,zynadex,,79
zynadex 40,zynadex,,18
đầu kim novofine,đầu kim novofine,,236
đầu kim pen ndl,đầu kim pen ndl,,251
đặt âm đạo,đặt âm đạo,,71
đặt âm đạo anbaescin,đặt âm đạo anbaescin,,2
đặt âm đạo candisafe,đặt âm đạo candisafe,,50
đặt âm đạo gel dùng ngoài mangizeni,đặt âm đạo gel dùng ngoài mangizeni,,69
đặt âm đạo metronidazol,đặt âm đạo metronidazol,,21
đặt âm đạo salgad,đặt âm đạo salgad,,3
đặt âm đạo zolmed,đặt âm đạo zolmed,,2
β-hist,β-hist,,42
