drug_name,count,generic_name,atc_code,confidence,method
atisyrup zinc,3787,zinc preparations,A12CB,high,manual_dict
atoris,846,atorvastatin,C10AA05,high,manual_dict
atormac,386,,,,
atorpa - e,1,,,,
atorpa- e,245,,,,
atorvastatin,6946,atorvastatin,C10AA05,high,manual_dict
atsypax 600 (600mg,28,,,,
auclanityl,21,,,,
augmentin,575,amoxicillin and enzyme inhibitor,J01CR02,high,manual_dict
auroliza,1204,rosuvastatin,C10AA07,high,manual_dict
ausmuco 750v,13,,,,
auzion 1000 (875mg,67,,,,
avantomega,3,,,,
axeliv,14,,,,
ayite,217,,,,
azaduo,3,,,,
azarga,39,,,,
azipowder,20,,,,
azlobal 4,2,,,,
azopt,55,,,,
b-coenzyme,970,vitamin b complex,A11EA,medium,manual_dict
b12 ankermann,505,cyanocobalamin,B03BA01,medium,manual_dict
babismo,60,,,,
baclofen dwp,60,baclofen,M03BX01,high,manual_dict
bactamox,21,sulbactam,J01CG01,fuzzy_0.71,fuzzy_match
bacterocin oint.,312,,,,
bamifen,146,tamoxifen,L02BA01,fuzzy_0.75,fuzzy_match
basaglar 300u/3ml,241,,,,
basethyrox,2,,,,
basicillin,187,aspoxicillin,J01CA19,fuzzy_0.82,fuzzy_match
bbcelat,4,,,,
becatec,45,,,,
benfosafe,627,benfotiamine,A11DA03,fuzzy_0.67,fuzzy_match
benzina 10,249,,,,
bestimac q10,179,,,,
betahistin,2333,betahistine,N07CA01,high,manual_dict
betahistin 24 a.t,76,betahistine,N07CA01,high,manual_dict
betamaks,390,betamethasone,A07EA04,fuzzy_0.67,fuzzy_match
betaserc,54,bietaserpine,C02AA07,fuzzy_0.70,fuzzy_match
beuticystine,6,betahistine,N07CA01,fuzzy_0.78,fuzzy_match
bexinclin,45,epicillin,J01CA07,fuzzy_0.67,fuzzy_match
bicelor 375 dt.,650,cefaclor,J01DC04,high,manual_dict
bifehema,235,bifemelane,N06AX08,fuzzy_0.67,fuzzy_match
bifril,1,,,,
bifril15mg tablet 2x14's,1,,,,
bilclamos 312.5mg (250mg,2,,,,
bilgrel,86,,,,
biocemet dt,47,cefixime,J01DD08,high,manual_dict
biocemet sc,996,cefixime,J01DD08,high,manual_dict
bioketoca,280,,,,
biosubtyl-ii 10^7-10^8 cfu/250mg,562,bacillus subtilis,A07FA,high,manual_dict
biseptol 480,3,,,,
bisoprolol,1378,bisoprolol,C07AB07,high,manual_dict
bisostad,40,belinostat,L01XH04,fuzzy_0.67,fuzzy_match
bivantox 200 tab,108,,,,
"biviantac (800,4 mg",2,,,,
bividiac,992,vildagliptin,A10BH02,high,manual_dict
bixebra,16,,,,
bloci,84,bleomycin,L01DC01,fuzzy_0.71,fuzzy_match
bluecan forte,897,candesartan,C09CA06,high,manual_dict
bluemint,1171,menthol preparation,R01AX,high,manual_dict
bluemoxi,17,,,,
boganic,10,,,,
bolabio 10^9 cfu,1890,lactobacillus,A07FA01,high,manual_dict
bometan (50mcg,33,,,,
bominity,521,,,,
bomitis,72,bromides,N05CM11,fuzzy_0.67,fuzzy_match
boncinco mỗi,18,,,,
boncium,22,bevonium,A03AB13,fuzzy_0.80,fuzzy_match
bosrelor,42,,,,
bostekid 30mg granules,10,,,,
bourabia-8,288,,,,
bradirem,2,ivabradine,C01EB17,fuzzy_0.67,fuzzy_match
braiporin syrup,3,,,,
breezol,343,sobrerol,R05CB07,fuzzy_0.67,fuzzy_match
breztri aerosphere,2,,,,
bridotyl,30,benperidol,N05AD07,fuzzy_0.67,fuzzy_match
brilinta,99,brinase,B01AD06,fuzzy_0.67,fuzzy_match
brilinta tab,5,,,,
bromhexin,486,bromhexine,R05CB02,fuzzy_0.95,fuzzy_match
bromtab 40 tablet,12,,,,
broncho-vaxom adults,1,,,,
brusonex,18,buspirone,N05BE01,fuzzy_0.71,fuzzy_match
btozka,1,,,,
butagan syrup,85,,,,
buvamed,3,,,,
bv levocin,66,bleomycin,L01DC01,fuzzy_0.74,fuzzy_match
bvpalin,73,bivalirudin,B01AE06,fuzzy_0.67,fuzzy_match
bát trân,44,,,,
bút tiêm insulin-mypen,111,insulin,A10AB01,high,manual_dict
bổ gan tiêu độc livsin-94,4,,,,
bổ tỳ dưỡng cốt thái dương,1,,,,
